Auction ID,Bank/Organisation Name,City/District/Location,Auction Date,Reserve Price,Source
75858,Canara Bank,"Murshidabad, West Bengal",12/10/2025,"₹35,14,000",Albion
75879,Canara Bank,"Birbhum, West Bengal",12/10/2025,"₹21,40,000",Albion
75884,Canara Bank,"Birbhum, West Bengal",12/10/2025,"₹11,69,900",Albion
75888,Canara Bank,"Murshidabad, West Bengal",12/10/2025,"₹44,98,000",Albion
75890,Canara Bank,"Maldah, West Bengal",12/10/2025,"₹23,00,000",Albion
75891,Canara Bank,"Murshidabad, West Bengal",12/10/2025,"₹21,75,000",Albion
73050,Canara Bank,"Murshidabad, West Bengal",03/10/2025,"₹8,55,000",Albion
73053,Canara Bank,"Maldah, West Bengal",03/10/2025,"₹22,03,000",Albion
73054,Canara Bank,"Murshidabad, West Bengal",03/10/2025,"₹20,05,000",Albion
73065,Canara Bank,"Maldah, West Bengal",03/10/2025,"₹22,93,000",Albion
75842,Indian Bank,"Dum Dum, Kolkata, West Bengal",02/10/2025,"₹2,60,65,000",Albion
72894,Punjab and Sind Bank,"wadali, Amritsar, Punjab",25/09/2025,"₹22,56,750",Albion
73029,Canara Bank,"Ghoshpara, Kolkata, West Bengal",25/09/2025,"₹27,30,000",Albion
72909,Punjab and Sind Bank,"Jandiala Guru, Amritsar, Punjab",25/09/2025,"₹10,20,000",Albion
72908,Punjab and Sind Bank,"Amritsar, Punjab",25/09/2025,"₹66,10,000",Albion
72907,Punjab and Sind Bank,"wadali, Amritsar, Punjab",25/09/2025,"₹40,43,000",Albion
72905,Punjab and Sind Bank,"Wakia Rakba, Amritsar, Punjab",25/09/2025,"₹38,90,000",Albion
72904,Punjab and Sind Bank,"Amritsar, Punjab",25/09/2025,"₹19,35,000",Albion
72897,Punjab and Sind Bank,"Udham Singh Nagar, Amritsar, Punjab",25/09/2025,"₹5,11,063",Albion
72900,Punjab and Sind Bank,"Abadi Prem Nagar, Amritsar, Punjab",25/09/2025,"₹10,59,000",Albion
72902,Punjab and Sind Bank,"Majitha Road, Amritsar, Punjab",25/09/2025,"₹7,36,000",Albion
75729,Canara Bank,"Purba Medinipur, West Bengal",24/09/2025,"₹11,41,000",Albion
75727,Canara Bank,"Hooghly, West Bengal",24/09/2025,"₹12,60,000",Albion
75725,Canara Bank,"Purba Medinipur, West Bengal",24/09/2025,"₹24,78,000",Albion
75722,Canara Bank,"Purba Medinipur, West Bengal",24/09/2025,"₹10,05,000",Albion
72337,Indian Overseas Bank,"Hayathnagar Village, Ranga Reddy, Telangana",22/09/2025,"₹85,69,200",Albion
71239,Debts Recovery Tribunal,"Palamu, Jharkhand",21/09/2025,"₹17,43,000",Albion
73042,Indian Bank,"Purba Medinipur, West Bengal",19/09/2025,"₹40,31,550",Albion
75359,UCO Bank,"Kanchipuram, Tamil Nadu",19/09/2025,"₹13,20,000",Albion
75369,UCO Bank,"Kanyakumari, Tamil Nadu",19/09/2025,"₹16,00,000",Albion
75371,UCO Bank,"Kanyakumari, Tamil Nadu",19/09/2025,"₹22,20,000",Albion
75373,UCO Bank,"Kanyakumari, Tamil Nadu",19/09/2025,"₹14,40,000",Albion
75374,UCO Bank,"Kanyakumari, Tamil Nadu",19/09/2025,"₹1,10,90,000",Albion
75639,IKF finance,"Surat, Gujarat",18/09/2025,"₹9,00,000",Albion
75502,Au small finance bank,"Surat, Gujarat",16/09/2025,"₹3,85,000",Albion
70089,Bank of India,"Bokaro, Jharkhand",16/09/2025,"₹28,48,000",Albion
73495,Indian Bank,"North 24 Parganas, West Bengal",16/09/2025,"₹15,84,000",Albion
75592,Debts Recovery Tribunal,"Surat, Gujarat",15/09/2025,"₹12,00,000",Albion
75595,Debts Recovery Tribunal,"Surat, Gujarat",15/09/2025,"₹12,00,000",Albion
75597,Debts Recovery Tribunal,"Surat, Gujarat",15/09/2025,"₹12,00,000",Albion
75602,Debts Recovery Tribunal,"Surat, Gujarat",15/09/2025,"₹12,00,000",Albion
75693,Repco Home Finance,"Nagapattinam, Tamil Nadu",15/09/2025,"₹16,20,000",Albion
75705,UCO Bank,"Mandevilla Gardens, Kolkata, West Bengal",14/09/2025,"₹4,33,91,000",Albion
75706,UCO Bank,"Mandevilla Gardens, Kolkata, West Bengal",14/09/2025,"₹4,42,29,000",Albion
73369,Canara Bank,"Birbhum, West Bengal",14/09/2025,"₹15,30,000",Albion
71565,Canara Bank,"P.S-Naihati, North 24 Parganas, West Bengal",14/09/2025,"₹13,00,000",Albion
71563,Canara Bank,"barasat, North 24 Parganas, West Bengal",14/09/2025,"₹15,00,000",Albion
71562,Canara Bank,"bolpur, Birbhum, West Bengal",14/09/2025,"₹15,30,000",Albion
71560,Canara Bank,"Kandi, Murshidabad, West Bengal",14/09/2025,"₹47,60,000",Albion
71559,Canara Bank,"Murarai, Birbhum, West Bengal",14/09/2025,"₹9,09,000",Albion
71557,Canara Bank,"Suti, Murshidabad, West Bengal",14/09/2025,"₹43,48,000",Albion
71555,Canara Bank,"Lalgola, Murshidabad, West Bengal",14/09/2025,"₹13,06,000",Albion
69457,Canara Bank,"Murshidabad, West Bengal",14/09/2025,"₹13,06,000",Albion
69456,Canara Bank,"Murshidabad, West Bengal",14/09/2025,"₹43,48,000",Albion
69454,Canara Bank,"Cooch Behar, West Bengal",14/09/2025,"₹9,09,000",Albion
69453,Canara Bank,"Murshidabad, West Bengal",14/09/2025,"₹47,60,000",Albion
69451,Canara Bank,"Birbhum, West Bengal",14/09/2025,"₹15,30,000",Albion
74791,Nido Home Finance,"Tirupattur, Tamil Nadu",11/09/2025,"₹19,13,000",Albion
74792,Nido Home Finance,"Tiruvannamalai, Tamil Nadu",11/09/2025,"₹26,82,810",Albion
74790,Nido home finance,"Tiruvannamalai, Tamil Nadu",11/09/2025,"₹17,05,200",Albion
74801,Nido Home Finance,"Tiruvallur, Tamil Nadu",11/09/2025,"₹47,15,400",Albion
75147,Nido Home Finance,"Vellore, Tamil Nadu",11/09/2025,"₹16,05,975",Albion
74905,Nido Home Finance,"Dindigul, Tamil Nadu",11/09/2025,"₹29,17,008",Albion
75273,State Bank of India,"Kanchipuram, Tamil Nadu",11/09/2025,"₹40,00,000",Albion
74788,Nido Home Finance,"Pudukkottai, Tamil Nadu",11/09/2025,"₹48,78,000",Albion
73658,Debts Recovery Tribunal,"Virudhunagar, Tamil Nadu",10/09/2025,"₹3,50,000",Albion
73657,Debts Recovery Tribunal,"Virudhunagar, Tamil Nadu",10/09/2025,"₹14,50,000",Albion
75321,Kotak Mahindra Bank,"Kanchipuram, Tamil Nadu",10/09/2025,"₹18,00,000",Albion
75384,Kotak Mahindra Bank,"Tiruvallur, Tamil Nadu",10/09/2025,"₹10,50,000",Albion
75649,City Union Bank,"Tiruvannamalai, Tamil Nadu",10/09/2025,"₹48,00,000",Albion
75848,Indian Bank,"South 24 Parganas, West Bengal",09/09/2025,"₹10,56,000",Albion
75768,Indian Bank,"Kanchipuram, Tamil Nadu",09/09/2025,"₹48,00,000",Albion
75766,Indian Bank,"Kanchipuram, Tamil Nadu",09/09/2025,"₹48,00,000",Albion
75764,Indian Bank,"Kanchipuram, Tamil Nadu",09/09/2025,"₹63,40,000",Albion
75496,Au small finance bank,"Surat, Gujarat",09/09/2025,"₹5,10,000",Albion
75487,Au small finance bank,"Surat, Gujarat",09/09/2025,"₹5,50,000",Albion
75533,Au small finance bank,"Surat, Gujarat",09/09/2025,"₹5,00,000",Albion
