Auction ID,Bank/Organisation Name,City/District/Location,Auction Date,Reserve Price,Source
66824,Kotak Mahindra Bank,"Tiruvallur, Tamil Nadu",13/08/2025,"₹13,50,000",Albion
65775,Cholamandalam Investment and Finance Company,"Chennai, Tamil Nadu",13/08/2025,"₹65,38,000",Albion
67903,Aditya Birla Housing Finance,"Belghoria, Kolkata, West Bengal",13/08/2025,"₹31,61,400",Albion
67902,Aditya Birla Housing Finance,"New Barrackpore, Kolkata, West Bengal",13/08/2025,"₹25,95,032",Albion
67901,Aditya Birla Housing Finance,"Jadavpur, Kolkata, West Bengal",13/08/2025,"₹20,79,581",Albion
68032,Union Bank Of India,"Kanchipuram, Tamil Nadu",13/08/2025,"₹22,50,000",Albion
68032,Union Bank Of India,"Kanchipuram, Tamil Nadu",13/08/2025,"₹22,50,000",Albion
67960,Union Bank Of India,"Coimbatore, Tamil Nadu",13/08/2025,"₹43,00,000",Albion
67961,Union Bank Of India,"Coimbatore, Tamil Nadu",13/08/2025,"₹21,00,000",Albion
67972,Union Bank Of India,"Chennai, Tamil Nadu",13/08/2025,"₹2,13,00,000",Albion
67973,Union Bank Of India,"Chennai, Tamil Nadu",13/08/2025,"₹1,96,00,000",Albion
67974,Union Bank Of India,"Chennai, Tamil Nadu",13/08/2025,"₹26,00,000",Albion
67975,Union Bank Of India,"Chennai, Tamil Nadu",13/08/2025,"₹37,50,000",Albion
68034,Union Bank Of India,"Kanchipuram, Tamil Nadu",13/08/2025,"₹41,50,000",Albion
68032,Union Bank Of India,"Kanchipuram, Tamil Nadu",13/08/2025,"₹22,50,000",Albion
68032,Union Bank Of India,"Kanchipuram, Tamil Nadu",13/08/2025,"₹22,50,000",Albion
68103,Canara Bank,"Salem, Tamil Nadu",12/08/2025,"₹67,50,000",Albion
68099,Canara Bank,"Salem, Tamil Nadu",12/08/2025,"₹10,60,000",Albion
68187,ICICI Bank,"Chemmanthitta, Thrissur, Kerala",12/08/2025,"₹93,00,000",Albion
68189,ICICI Bank,"Chemmanthitta, Thrissur, Kerala",12/08/2025,"₹1,34,00,000",Albion
68193,ICICI Bank,"Anjur, Thrissur, Kerala",12/08/2025,"₹92,00,000",Albion
67968,ICICI Bank,"Theni, Tamil Nadu",12/08/2025,"₹2,50,00,000",Albion
68196,Federal Bank,"Mazhuvaninoor, Ernakulam, Kerala",12/08/2025,"₹4,30,00,000",Albion
67976,Canara Bank,"Sivaganga, Tamil Nadu",12/08/2025,"₹5,85,000",Albion
66842,Debts Recovery Tribunal,"Ahmedabad, Gujarat",12/08/2025,"₹76,00,000",Albion
67828,SMFG India Home Finance,"Bhamian Kalan, Ludhiana, Punjab",12/08/2025,"₹14,60,000",Albion
65863,Indian Bank,"Vellore, Tamil Nadu",12/08/2025,"₹28,70,000",Albion
69048,City Union Bank,"Kanchipuram, Tamil Nadu",12/08/2025,"₹65,00,000",Albion
69301,Cholamandalam Investment and Finance Company,"North 24 Parganas, West Bengal",12/08/2025,"₹33,00,000",Albion
69296,Cholamandalam Investment and Finance Company,"Hooghly, West Bengal",12/08/2025,"₹26,00,000",Albion
69293,Asset Reconstruction Company India Ltd,"Baruipur, Kolkata, West Bengal",12/08/2025,"₹38,08,000",Albion
69217,Canara Bank,"Madurai, Tamil Nadu",12/08/2025,"₹3,26,000",Albion
69170,Asset Reconstruction Company India Ltd,"KR Puram Hobli, Bangalore Urba, Karnataka",12/08/2025,"₹37,25,000",Albion
69168,Asset Reconstruction Company India Ltd,"KR Puram Hobli, Bangalore Urba, Karnataka",12/08/2025,"₹37,00,000",Albion
69115,Canara Bank,"Sivaganga, Tamil Nadu",12/08/2025,"₹4,32,000",Albion
69079,Debts Recovery Tribunal,"Viluppuram, Tamil Nadu",12/08/2025,"₹35,36,000",Albion
69074,Federal Bank,"Chennai, Tamil Nadu",12/08/2025,"₹1,17,00,000",Albion
69077,Debts Recovery Tribunal,"Viluppuram, Tamil Nadu",12/08/2025,"₹2,88,00,000",Albion
69047,City Union Bank,"Kanchipuram, Tamil Nadu",12/08/2025,"₹65,00,000",Albion
